VALUE,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
3738,Open Water,11,Ba Open Water,Water,11,Non-vegetated,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0,0,1
3805,Water,11,Ba Water,Water,11,Non-vegetated,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0,0,1
3859,Water,11,Ba Water,Water,11,Non-vegetated,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0,0,1
3887,Water,11,Ba Water,Water,11,Non-vegetated,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0,0,1
3737,Snow-Ice,12,Ba Snow-Ice,Snow-Ice,12,Non-vegetated,Snow-Ice,LF 12: Snow-Ice,Non-vegetated,Non-vegetated,Non-vegetated,159,161,240,0.623529,0.631373,0.941176
3767,Developed-Open Space,21,Bau Developed-Open Space,Developed,21,Developed,Developed-Open Space,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,52,52,52,0.203922,0.203922,0.203922
3768,Developed-Low Intensity,22,Bau Developed-Low Intensity,Developed,22,Developed,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,255,122,143,1,0.478431,0.560784
3769,Developed-Medium Intensity,23,Bau Developed-Medium Intensity,Developed,23,Developed,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,253,44,79,0.992157,0.172549,0.309804
3770,Developed-High Intensity,24,Bau Developed-High Intensity,Developed,24,Developed,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,173,0,28,0.678431,0,0.109804
3800,Developed-Open Space,21,Bau Developed-Open Space,Developed,21,Developed,Developed-Open Space,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,52,52,52,0.203922,0.203922,0.203922
3801,Developed-Low Intensity,22,Bau Developed-Low Intensity,Developed,22,Developed,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,255,122,143,1,0.478431,0.560784
3802,Developed-Medium Intensity,23,Bau Developed-Medium Intensity,Developed,23,Developed,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,253,44,79,0.992157,0.172549,0.309804
3803,Developed-High Intensity,24,Bau Developed-High Intensity,Developed,24,Developed,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,173,0,28,0.678431,0,0.109804
3857,Urban,20,Bau Urban,Developed,20,Developed,Developed-General,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,52,52,52,0.203922,0.203922,0.203922
3860,Caribbean High-medium density urban,2860,Bau Caribbean High-medium density urban,Developed,23,Developed,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,52,52,52,0.203922,0.203922,0.203922
3861,Caribbean Low-medium density urban,2861,Bau Caribbean Low-medium density urban,Developed,24,Developed,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,52,52,52,0.203922,0.203922,0.203922
3900,Western Cool Temperate Urban Deciduous Forest,2913,Dtd Urban Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216,0.266667,0.537255
3901,Western Cool Temperate Urban Evergreen Forest,2914,Dtc Urban Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,170,102,205,0.666667,0.4,0.803922
3902,Western Cool Temperate Urban Mixed Forest,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784,0.619608,0.843137
3903,Western Cool Temperate Urban Herbaceous,2916,Dgr Urban Herbaceous,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,202,122,245,0.792157,0.478431,0.960784
3904,Western Cool Temperate Urban Shrubland,2917,Dsh Urban Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,207,171,215,0.811765,0.670588,0.843137
3905,Eastern Cool Temperate Urban Deciduous Forest,2913,Dtd Urban Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216,0.266667,0.537255
3906,Eastern Cool Temperate Urban Evergreen Forest,2914,Dtc Urban Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,170,102,205,0.666667,0.4,0.803922
3907,Eastern Cool Temperate Urban Mixed Forest,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784,0.619608,0.843137
3908,Eastern Cool Temperate Urban Herbaceous,2916,Dgr Urban Herbaceous,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,202,122,245,0.792157,0.478431,0.960784
3909,Eastern Cool Temperate Urban Shrubland,2917,Dsh Urban Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,207,171,215,0.811765,0.670588,0.843137
3910,Western Warm Temperate Urban Deciduous Forest,2913,Dtd Urban Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216,0.266667,0.537255
3911,Western Warm Temperate Urban Evergreen Forest,2914,Dtc Urban Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,170,102,205,0.666667,0.4,0.803922
3912,Western Warm Temperate Urban Mixed Forest,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784,0.619608,0.843137
3913,Western Warm Temperate Urban Herbaceous,2916,Dgr Urban Herbaceous,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,202,122,245,0.792157,0.478431,0.960784
3914,Western Warm Temperate Urban Shrubland,2917,Dsh Urban Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,207,171,215,0.811765,0.670588,0.843137
3915,Eastern Warm Temperate Urban Urban Deciduous Forest,2913,Dtd Urban Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216,0.266667,0.537255
3916,Eastern Warm Temperate Urban Urban Evergreen Forest,2914,Dtc Urban Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,170,102,205,0.666667,0.4,0.803922
3917,Eastern Warm Temperate Urban Urban Mixed Forest,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784,0.619608,0.843137
3918,Eastern Warm Temperate Urban Urban Herbaceous,2916,Dgr Urban Herbaceous,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,202,122,245,0.792157,0.478431,0.960784
3919,Eastern Warm Temperate Urban Urban Shrubland,2917,Dsh Urban Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,207,171,215,0.811765,0.670588,0.843137
3920,Western Cool Temperate Developed Ruderal Deciduous Forest,2923,Dtd Developed Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,64,61,168,0.25098,0.239216,0.658824
3921,Western Cool Temperate Developed Ruderal Evergreen Forest,2924,Dtc Developed Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,102,119,205,0.4,0.466667,0.803922
3922,Western Cool Temperate Developed Ruderal Mixed Forest,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,68,79,137,0.266667,0.309804,0.537255
3923,Western Cool Temperate Developed Ruderal Shrubland,2926,Dsh Developed Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,158,170,215,0.619608,0.666667,0.843137
3924,Western Cool Temperate Developed Ruderal Grassland,2927,Dgr Developed Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,122,142,245,0.478431,0.556863,0.960784
3925,Western Warm Temperate Developed Ruderal Deciduous Forest,2923,Dtd Developed Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,64,61,168,0.25098,0.239216,0.658824
3926,Western Warm Temperate Developed Ruderal Evergreen Forest,2924,Dtc Developed Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,102,119,205,0.4,0.466667,0.803922
3927,Western Warm Temperate Developed Ruderal Mixed Forest,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,68,79,137,0.266667,0.309804,0.537255
3928,Western Warm Temperate Developed Ruderal Shrubland,2926,Dsh Developed Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,158,170,215,0.619608,0.666667,0.843137
3929,Western Warm Temperate Developed Ruderal Grassland,2927,Dgr Developed Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,122,142,245,0.478431,0.556863,0.960784
3930,Eastern Cool Temperate Developed Ruderal Deciduous Forest,2923,Dtd Developed Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,64,61,168,0.25098,0.239216,0.658824
3931,Eastern Cool Temperate Developed Ruderal Evergreen Forest,2924,Dtc Developed Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,102,119,205,0.4,0.466667,0.803922
3932,Eastern Cool Temperate Developed Ruderal Mixed Forest,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,68,79,137,0.266667,0.309804,0.537255
3933,Eastern Cool Temperate Developed Ruderal Shrubland,2926,Dsh Developed Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,158,170,215,0.619608,0.666667,0.843137
3934,Eastern Cool Temperate Developed Ruderal Grassland,2927,Dgr Developed Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,122,142,245,0.478431,0.556863,0.960784
3935,Eastern Warm Temperate Developed Ruderal Deciduous Forest,2923,Dtd Developed Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,64,61,168,0.25098,0.239216,0.658824
3936,Eastern Warm Temperate Developed Ruderal Evergreen Forest,2924,Dtc Developed Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,102,119,205,0.4,0.466667,0.803922
3937,Eastern Warm Temperate Developed Ruderal Mixed Forest,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,68,79,137,0.266667,0.309804,0.537255
3938,Eastern Warm Temperate Developed Ruderal Shrubland,2926,Dsh Developed Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,158,170,215,0.619608,0.666667,0.843137
3939,Eastern Warm Temperate Developed Ruderal Grassland,2927,Dgr Developed Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,122,142,245,0.478431,0.556863,0.960784
3940,Western Cool Temperate Undeveloped Ruderal Deciduous Forest,2933,Dtd Undeveloped Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,255,190,232,1,0.745098,0.909804
3941,Western Cool Temperate Undeveloped Ruderal Evergreen Forest,2934,Dtc Undeveloped Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,255,0,197,1,0,0.772549
3942,Western Cool Temperate Undeveloped Ruderal Mixed Forest,2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,115,223,1,0.45098,0.87451
3943,Western Cool Temperate Undeveloped Ruderal Shrubland,2936,Dsh Undeveloped Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,168,0,132,0.658824,0,0.517647
3944,Western Cool Temperate Undeveloped Ruderal Grassland,2937,Dgr Undeveloped Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,230,0,169,0.901961,0,0.662745
3945,Western Warm Temperate Undeveloped Ruderal Deciduous Forest,2933,Dtd Undeveloped Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,255,190,232,1,0.745098,0.909804
3946,Western Warm Temperate Undeveloped Ruderal Evergreen Forest,2934,Dtc Undeveloped Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,255,0,197,1,0,0.772549
3947,Western Warm Temperate Undeveloped Ruderal Mixed Forest,2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,115,223,1,0.45098,0.87451
3948,Western Warm Temperate Undeveloped Ruderal Shrubland,2936,Dsh Undeveloped Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,168,0,132,0.658824,0,0.517647
3949,Western Warm Temperate Undeveloped Ruderal Grassland,2937,Dgr Undeveloped Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,230,0,169,0.901961,0,0.662745
3950,Eastern Cool Temperate Undeveloped Ruderal Deciduous Forest,2933,Dtd Undeveloped Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,255,190,232,1,0.745098,0.909804
3951,Eastern Cool Temperate Undeveloped Ruderal Evergreen Forest,2934,Dtc Undeveloped Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,255,0,197,1,0,0.772549
3952,Eastern Cool Temperate Undeveloped Ruderal Mixed Forest,2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,115,223,1,0.45098,0.87451
3953,Eastern Cool Temperate Undeveloped Ruderal Shrubland,2936,Dsh Undeveloped Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,168,0,132,0.658824,0,0.517647
3954,Eastern Cool Temperate Undeveloped Ruderal Grassland,2937,Dgr Undeveloped Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,230,0,169,0.901961,0,0.662745
3955,Eastern Warm Temperate Undeveloped Ruderal Deciduous Forest,2933,Dtd Undeveloped Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,255,190,232,1,0.745098,0.909804
3956,Eastern Warm Temperate Undeveloped Ruderal Evergreen Forest,2934,Dtc Undeveloped Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,255,0,197,1,0,0.772549
3957,Eastern Warm Temperate Undeveloped Ruderal Mixed Forest,2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,115,223,1,0.45098,0.87451
3958,Eastern Warm Temperate Undeveloped Ruderal Shrubland,2936,Dsh Undeveloped Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,168,0,132,0.658824,0,0.517647
3959,Eastern Warm Temperate Undeveloped Ruderal Grassland,2937,Dgr Undeveloped Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland,230,0,169,0.901961,0,0.662745
3736,Barren,31,Bab Barren,Barren,31,Non-vegetated,Barren,LF 31: Barren,Non-vegetated,Non-vegetated,Non-vegetated,191,191,191,0.74902,0.74902,0.74902
3791,Aleutian Sparsely Vegetated,2791,Sps Aleutian Sparsely Vegetated,Sparse,755,Non-vegetated,"Bedrock, Scree, and Talus",LF 31: Barren,No dominant lifeform,Sparsely Vegetated,Sparsely vegetated,191,191,191,0.74902,0.74902,0.74902
3792,Arctic Sparsely Vegetated,2792,Sps Arctic Sparsely Vegetated,Sparse,755,Non-vegetated,"Bedrock, Scree, and Talus",LF 31: Barren,No dominant lifeform,Sparsely Vegetated,Sparsely vegetated,191,191,191,0.74902,0.74902,0.74902
3793,Boreal Sparsely Vegetated,2793,Sps Boreal Sparsely Vegetated,Sparse,755,Non-vegetated,"Bedrock, Scree, and Talus",LF 31: Barren,No dominant lifeform,Sparsely Vegetated,Sparsely vegetated,191,191,191,0.74902,0.74902,0.74902
3794,Pacific Maritime Sparsely Vegetated,2794,Sps Pacific Maritime Sparsely Vegetated,Sparse,755,Non-vegetated,"Bedrock, Scree, and Talus",LF 31: Barren,No dominant lifeform,Sparsely Vegetated,Sparsely vegetated,191,191,191,0.74902,0.74902,0.74902
3830,Barren,31,Bab Barren,Barren,31,Non-vegetated,Barren,LF 31: Barren,Non-vegetated,Non-vegetated,Non-vegetated,191,191,191,0.74902,0.74902,0.74902
3832,Barren,31,Bab Barren,Barren,31,Non-vegetated,Barren,LF 31: Barren,Non-vegetated,Non-vegetated,Non-vegetated,191,191,191,0.74902,0.74902,0.74902
3884,Quarries,32,Bab Quarries-Strip Mines-Gravel Pits,Barren,31,Non-vegetated,Barren,LF 31: Barren,Non-vegetated,Non-vegetated,Non-vegetated,191,191,191,0.74902,0.74902,0.74902
3885,Coastal sand and rock,31,Bab Barren,Barren,31,Non-vegetated,Barren,LF 31: Barren,Non-vegetated,Non-vegetated,Non-vegetated,193,193,193,0.756863,0.756863,0.756863
3886,Bare soil,31,Bab Barren,Barren,31,Non-vegetated,Barren,LF 31: Barren,Non-vegetated,Non-vegetated,Non-vegetated,191,191,191,0.74902,0.74902,0.74902
3001,Inter-Mountain Basins Sparsely Vegetated Systems,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3002,Mediterranean California Sparsely Vegetated Systems,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3003,North Pacific Sparsely Vegetated Systems,2003,Sps North Pacific Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3004,North American Warm Desert Sparsely Vegetated Systems,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3006,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3007,Western Great Plains Sparsely Vegetated Systems,2007,Sps Western Great Plains Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3218,North American Warm Desert Sparsely Vegetated Systems II,2218,Sps North American Warm Desert Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3219,Inter-Mountain Basins Sparsely Vegetated Systems II,2219,Sps Inter-Mountain Basins Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3221,Mediterranean California Sparsely Vegetated Systems II,2221,Sps Mediterranean California Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3222,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,2222,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3223,Sonoran Desert Sparsely Vegetated,2223,Sps Sonoran Desert Sparsely Vegetated,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3497,Central Interior and Appalachian Sparsely Vegetated Systems,2497,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3498,Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,2498,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3499,Laurentian-Acadian Sparsely Vegetated Systems,2499,Sps Laurentian-Acadian Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3879,Caribbean Salt or mud flats,2879,Sps Caribbean Salt or mud flats,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3745,Boreal Herbaceous Wetlands,2745,He Boreal Herbaceous Wetlands,Herb,783,Riparian,Wet Meadow,LF 40: Sedge Meadow,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,255,205,112,1,0.803922,0.439216
3747,Arctic Sedge Meadows,2747,Sh Arctic Sedge Meadows,Shrub,783,Riparian,Wet Meadow,LF 40: Sedge Meadow,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,255,205,112,1,0.803922,0.439216
3756,Arctic Dwarf Shrub Wetland,2756,Sh Arctic Dwarf Shrub Wetland,Shrub,762,Shrubland,Dwarf Shrubland,LF 40: Sedge Meadow,Shrub-dominated,Dwarf Shrubland,Deciduous dwarf-shrubland,255,205,112,1,0.803922,0.439216
3083,North Pacific Avalanche Chute Shrubland,2083,Sh North Pacific Avalanche Chute Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,128,97,69,0.501961,0.380392,0.270588
